,SampleName,cell,dex,Run
Air_Day1_S1,Con_1,One,untrt,Air_Day1_S1
Air_Day1_S2,Con_1,One,untrt,Air_Day1_S2
Air_Day1_S3,Con_1,One,untrt,Air_Day1_S3
Air_Day1_S4,Con_1,One,untrt,Air_Day1_S4
Air_Day4_S1,Con_4,Four,untrt2,Air_Day4_S1
Air_Day4_S2,Con_4,Four,untrt2,Air_Day4_S2
Air_Day4_S3,Con_4,Four,untrt2,Air_Day4_S3
CB_Day1_S1,CB_1,One,trt,CB_Day1_S1
CB_Day1_S2,CB_1,One,trt,CB_Day1_S2
CB_Day1_S3,CB_1,One,trt,CB_Day1_S3
CB_Day1_S4,CB_1,One,trt,CB_Day1_S4
CB_Day4_S1,CB_4,Four,trt2,CB_Day4_S1
CB_Day4_S2,CB_4,Four,trt2,CB_Day4_S2
CB_Day4_S3,CB_4,Four,trt2,CB_Day4_S3
O3_Day1_S1,O3_1,One,trt3,O3_Day1_S1
O3_Day1_S2,O3_1,One,trt3,O3_Day1_S2
O3_Day1_S3,O3_1,One,trt3,O3_Day1_S3
O3_Day1_S4,O3_1,One,trt3,O3_Day1_S4
O3_Day4_S1,O3_4,Four,trt4,O3_Day4_S1
O3_Day4_S2,O3_4,Four,trt4,O3_Day4_S2
O3_Day4_S3,O3_4,Four,trt4,O3_Day4_S3
CB-O3_Day1_S1,CB_O3_1,One,trt5,CB-O3_Day1_S1
CB-O3_Day1_S2,CB_O3_1,One,trt5,CB-O3_Day1_S2
CB-O3_Day1_S3,CB_O3_1,One,trt5,CB-O3_Day1_S3
CB-O3_Day1_S4,CB_O3_1,One,trt5,CB-O3_Day1_S4
CB-O3_Day4_S1,CB_O3_4,Four,trt6,CB-O3_Day4_S1
CB-O3_Day4_S2,CB_O3_4,Four,trt6,CB-O3_Day4_S2
CB-O3_Day4_S3,CB_O3_4,Four,trt6,CB-O3_Day4_S3
